Private: False
Epoch 8 | Batch 2 | Batch Loss 0.24895792603492736 | Average Loss 0.2564215958993262 | 11.02651355317894 ms/batch
Epoch 8 | Batch 3 | Batch Loss 0.24895783960819245 | Average Loss 0.25627833762118546 | 10.984886173094532 ms/batch
Epoch 8 | Batch 4 | Batch Loss 0.2447682723402977 | Average Loss 0.256061575563165 | 11.029577973647756 ms/batch
Epoch 8 | Batch 5 | Batch Loss 0.24974354356527328 | Average Loss 0.2559447912378805 | 11.021593361817535 ms/batch
Epoch 9 | Batch 0 | Batch Loss 0.23714507669210433 | Average Loss 0.2556035985963963 | 11.10431979226114 ms/batch
Epoch 9 | Batch 1 | Batch Loss 0.2544622033834457 | Average Loss 0.2555832528706753 | 11.101115833629262 ms/batch
Epoch 9 | Batch 2 | Batch Loss 0.25575728714466095 | Average Loss 0.25558630075638433 | 11.082875123165952 ms/batch
Epoch 9 | Batch 3 | Batch Loss 0.24921926110982895 | Average Loss 0.25547671315489456 | 11.10780998269375 ms/batch
Epoch 9 | Batch 4 | Batch Loss 0.24634154736995698 | Average Loss 0.25532214182181606 | 11.093528541009842 ms/batch
Epoch 9 | Batch 5 | Batch Loss 0.25078828930854796 | Average Loss 0.25524670334405786 | 11.113676175896618 ms/batch
Private: True
Epoch 0 | Batch 0 | Batch Loss 63.030609130859375 | Average Loss 57.3005537553267 | 450.2825303511186 ms/batch
Epoch 0 | Batch 1 | Batch Loss 0.8112682461738586 | Average Loss 30.400893989063444 | 459.5680236816406 ms/batch
Epoch 0 | Batch 2 | Batch Loss 0.7621539771556854 | Average Loss 20.84001011425449 | 458.57338751516033 ms/batch
Epoch 0 | Batch 3 | Batch Loss 0.7178847789764404 | Average Loss 15.932174666625697 | 460.3803390409888 ms/batch
Epoch 0 | Batch 4 | Batch Loss 0.6795192778110504 | Average Loss 12.941457923720865 | 462.34984023898255 ms/batch
Epoch 0 | Batch 5 | Batch Loss 0.6435555636882782 | Average Loss 10.925408356502407 | 465.3005091870417 ms/batch
Epoch 1 | Batch 0 | Batch Loss 0.6124562323093414 | Average Loss 9.4728798883062 | 465.47376605826366 ms/batch
Epoch 1 | Batch 1 | Batch Loss 0.5828465521335602 | Average Loss 8.375344908531801 | 465.5193311196786 ms/batch
Epoch 1 | Batch 2 | Batch Loss 0.5548742830753326 | Average Loss 7.515952532108013 | 465.5317212199117 ms/batch
Epoch 1 | Batch 3 | Batch Loss 0.5333754539489746 | Average Loss 6.824608266943752 | 464.8373669917041 ms/batch
